departure_stationID,covered_distance,speed,DTC_ALL,duration,DUC_ALL,station,DUC_weekday,DTC_weekday,DUC_weekend,DTC_weekend,DUC_weekdayMor,DTC_weekdayMor,DUC_weekdayAft,DTC_weekdayAft,return_station1,RUC_ALL,RTC_ALL,RUC_weekday,RTC_weekday,RUC_weekend,RTC_weekend,RUC_weekdayMor,RTC_weekdayMor,RUC_weekdayAft,RTC_weekdayAft
91,2797.0,10.215722738799665,5109,1094.0,2557,Seurasaari,1532,2890,1335,2219,29,40,415,828,91,2440,5044,1475,2822,1265,2222,70,204,455,665
92,3399.0,11.226833371549944,2220,1126.5,1054,Saunalahdentie,675,1475,499,745,68,226,194,324,92,1059,2379,689,1640,500,739,68,169,228,438
93,2570.0,10.393640699523052,2455,978.0,1201,Torpanranta,759,1509,616,946,46,168,202,353,93,1229,2718,803,1700,610,1018,37,90,268,456
94,1794.0,10.846875,6421,669.0,1781,Laajalahden aukio,1350,4666,890,1755,179,803,550,1257,94,1946,7623,1515,5651,973,1972,248,1048,679,1463
95,2221.0,11.102727272727272,7307,811.0,2019,Munkkiniemen aukio,1582,5374,922,1933,297,1300,597,1152,95,2085,7721,1643,5663,962,2058,282,795,727,1730
96,1733.0,11.336116910229645,3599,652.0,802,Huopalahdentie,643,2811,322,788,162,877,237,578,96,745,3882,609,3009,318,873,78,194,289,1102
97,1464.0,10.740533672172806,1981,482.0,614,Professorintie,518,1655,198,326,107,278,190,504,97,568,1961,487,1616,182,345,109,616,149,246
98,943.0,12.937499999999998,2633,283.0,402,Ulvilantie,346,1983,227,650,123,701,154,425,98,417,2391,340,1733,236,658,36,72,170,526
99,2129.0,12.849344262295078,2155,669.0,402,Muusantori,296,1517,223,638,76,409,121,277,99,433,2555,329,1796,237,759,31,66,162,557
100,1330.0,11.91590569292697,2488,496.0,514,Ulvilanpuisto,404,1949,264,539,135,737,155,335,100,471,2417,404,1883,226,534,46,239,210,578
101,1553.0,11.209560358936734,6020,474.0,1716,Munkkivuoren ostoskeskus,1344,4432,808,1588,204,531,556,1216,101,1780,6418,1418,4685,868,1733,189,541,670,1424
102,2579.0,12.512337662337663,1605,758.0,300,NiemenmÃ¤enkuja,233,1188,160,417,69,377,92,192,102,280,1566,216,1126,162,440,27,73,102,331
103,2752.0,12.14871031503941,5788,922.5,1754,Vihdintie,1334,4201,798,1587,215,807,477,1007,103,1753,5863,1353,4241,831,1622,160,489,554,1215
104,2654.0,11.617448523501961,2516,909.0,701,Kriikunakuja,535,1849,322,667,109,461,233,452,104,635,2652,499,1935,293,717,92,174,216,622
105,1835.0,10.8,3599,704.0,1030,Tilkantori,782,2584,462,1015,124,510,342,729,105,932,3889,731,2805,457,1084,84,199,342,927
106,2458.0,11.664476239934174,4688,784.0,1481,KorppaanmÃ¤entie,1213,3856,506,832,234,613,447,1250,106,1467,4796,1213,3915,524,881,264,1215,423,837
107,2018.0,12.047724067561905,5910,654.0,888,Tenholantie,707,4487,444,1423,211,1403,315,1004,107,820,5853,669,4409,416,1444,103,279,370,1450
108,2546.0,12.695454545454545,4861,777.0,1035,Radiokatu,880,3815,381,1046,140,587,449,1321,108,907,4386,759,3375,341,1011,258,1043,274,691
109,2534.0,12.748958116515183,2834,732.5,695,HertanmÃ¤enkatu,587,2338,249,496,100,470,293,763,109,600,2565,512,2099,197,466,173,720,170,414
110,2507.0,11.941894892672094,5968,747.0,1434,Maistraatintori,1206,4733,527,1235,276,1191,547,1403,110,1057,5344,904,4195,409,1149,248,982,355,1071
111,2029.0,11.708517350157724,8557,628.0,2078,Esterinportti,1715,6797,809,1760,399,1497,781,1951,111,1772,8078,1498,6389,670,1689,393,1571,595,1633
112,2319.0,11.499167220376524,6260,711.0,2338,RautatielÃ¤isenkatu,1833,5127,807,1133,334,1446,729,1595,112,1991,5901,1549,4862,711,1039,417,1441,561,1544
113,1970.0,11.80754716981132,16403,590.0,4112,Veturitori,3470,14188,1414,2215,721,3888,1592,4950,113,3077,14068,2597,12184,1106,1884,768,3211,1096,4688
114,1919.0,11.591489361702127,11357,600.0,3789,Ratapihantie,3074,9053,1439,2304,622,1950,1164,2616,114,3426,10387,2730,8218,1320,2169,574,2084,1154,2353
115,1715.0,11.46315789473684,8863,566.0,1886,Venttiilikuja,1489,6634,877,2229,328,1434,741,1894,115,1277,7927,974,5797,748,2130,141,333,473,1956
116,2075.0,11.466323907455013,12536,662.0,3670,LinnanmÃ¤ki,2535,8521,1951,4015,433,1552,924,2015,116,3492,12076,2313,8108,1925,3968,195,578,971,2193
117,1864.0,11.713740458015268,9873,597.0,3530,Brahen puistikko,2546,7054,1662,2819,387,1156,955,1819,117,3044,9496,2196,6737,1488,2759,278,715,873,1937
118,1758.0,11.165387793039347,14848,568.0,3383,Fleminginkatu,2622,11807,1551,3041,634,3307,933,2780,118,3072,14707,2466,11663,1428,3044,498,3380,991,2652
119,1756.0,11.336296291484931,6264,563.0,2112,Gebhardinaukio,1677,5329,664,935,317,1166,595,1751,119,1602,5833,1278,5035,518,798,386,2662,317,621
120,2078.0,11.396115912472208,9796,639.0,3388,MÃ¤kelÃ¤nkatu,2679,7623,1364,2173,482,1482,1023,2446,120,2236,5796,1701,4306,929,1490,288,843,576,1090
121,2269.0,11.343774697359343,4834,682.5,1873,Vilhonvuorenkatu,1386,3656,773,1178,141,559,476,1019,121,1865,5078,1452,3894,725,1184,227,787,547,1077
122,2109.0,11.495592404697582,12118,672.0,3045,Lintulahdenkatu,2024,9216,1589,2902,385,1950,682,2569,122,3078,12924,2291,10058,1487,2866,402,2911,798,2006
123,1731.0,11.000398013780359,12202,610.5,3008,NÃ¤kinsilta,2260,9128,1458,3074,419,2201,867,2288,123,3059,12034,2410,9011,1393,3023,308,1125,1010,2690
125,2600.0,11.040210896309313,10430,863.5,2596,Arielinkatu,1757,7078,1520,3352,283,1859,587,1267,125,2765,11570,1924,7993,1543,3577,114,324,836,2588
126,1988.0,11.336949152542374,5853,667.0,1812,Kalasataman metroasema,1416,4938,655,915,193,801,559,1784,126,1840,6324,1455,5319,665,1005,348,1880,508,1163
127,2305.0,10.956109426878747,9998,747.0,3327,Teurastamo,2477,7769,1366,2229,198,797,812,2669,127,3561,10929,2751,8580,1436,2349,434,2521,947,1679
128,1792.0,11.33531199713928,4602,600.5,1420,PÃ¤ijÃ¤nteentie,1149,3533,605,1069,225,817,437,861,128,1094,4339,886,3260,488,1079,91,326,389,980
129,1872.0,11.511544959762743,9034,628.0,2608,Pernajantie,1940,6464,1276,2570,296,1284,713,1494,129,2414,8712,1829,6238,1173,2474,191,432,720,1782
130,1577.0,11.783003381395943,6710,542.0,1951,Teollisuuskatu,1576,5960,545,750,347,1192,690,2499,130,1511,6857,1193,6179,479,678,490,3764,297,502
131,1737.0,11.577121771217715,7695,572.0,2086,ElimÃ¤enkatu,1635,6412,764,1283,276,846,675,2599,131,1880,7506,1504,6283,668,1223,507,2868,445,859
133,1878.0,11.376824034334765,8655,649.0,2377,Paavalinpuisto,1859,6374,1087,2281,396,1623,713,1392,133,2118,8370,1626,6123,1039,2247,171,416,711,2013
134,2042.0,11.667313915857605,6118,690.0,1208,Haukilahdenkatu,912,4701,606,1417,224,1526,402,961,134,1178,6321,937,4858,568,1463,120,479,487,1506
135,1827.0,11.035570469798655,6205,622.0,2115,Velodrominrinne,1647,4715,844,1490,275,868,646,1311,135,1724,5956,1368,4548,690,1408,243,764,573,1315
136,1772.0,10.722077922077922,3265,624.0,830,Sofianlehdonkatu,644,2545,329,720,159,672,242,617,136,754,3195,596,2494,305,701,139,475,197,551
137,1931.0,10.88496894409938,12075,628.0,3197,Arabian kauppakeskus,2557,8974,1545,3101,339,1315,1125,2447,137,3223,12787,2603,9486,1587,3301,322,1143,1207,2933
138,2591.0,11.312956810631231,5864,814.0,1340,Arabiankatu,1010,4299,697,1565,199,1245,397,896,138,1401,6860,1092,5122,728,1738,125,400,560,1877
139,2737.0,11.637304937806256,3578,880.5,1134,Kaironkatu,848,2641,489,937,130,509,333,690,139,1343,4068,1063,3090,535,978,155,404,468,948
140,2869.0,11.191977077363896,4467,992.0,1689,Verkatehtaanpuisto,1109,3053,863,1414,121,533,354,758,140,1695,4745,1128,3323,847,1422,111,399,415,974
141,1862.0,11.79025787965616,10047,596.0,3282,Intiankatu,2645,7729,1163,2318,600,1893,871,1897,141,3118,10089,2578,7803,1109,2286,479,1181,1056,2349
142,2024.0,11.636786469344608,7144,678.0,2159,Koskelantie,1668,5305,990,1839,270,899,564,1321,142,2037,7244,1579,5422,943,1822,221,706,711,1599
144,2242.0,12.023760740601114,4416,718.0,1042,KÃ¤pylÃ¤ntie,807,3286,511,1130,212,1058,280,627,144,993,4513,765,3295,506,1218,89,226,361,1038
145,1960.0,12.089302325581397,2343,665.0,715,Pohjolankatu,553,1701,322,642,99,372,176,376,145,640,2056,466,1437,310,619,45,131,198,450
146,1889.0,11.06540121991307,2792,615.0,1019,Pohjolanaukio,740,2000,473,792,118,418,280,483,146,905,2895,687,2051,447,844,87,175,297,607
147,1805.0,13.109677419354837,3605,555.0,1138,KÃ¤pylÃ¤n asema,893,2786,490,819,114,315,368,1006,147,1053,3266,820,2523,432,743,168,612,304,596
148,2287.0,13.05483870967742,3773,739.0,520,Juhana Herttuan tie,411,2817,310,956,151,966,164,417,148,519,3888,441,2901,275,987,42,92,216,801
149,1835.0,12.276439790575914,10509,558.0,2223,Toinen linja,1749,7983,1045,2526,376,1917,692,1975,149,2243,9683,1775,7382,1008,2301,238,782,770,2418
150,1905.0,10.343299175786484,12548,694.0,5133,TÃ¶Ã¶lÃ¶nlahden puisto,3873,9317,1979,3231,429,1032,1348,2913,150,5074,12657,3786,9373,2022,3284,644,2387,1413,2271
