,pcode,usercount,week_weekend_ratio,userdaycount_mean,userdaycount_median,tripcount_mean,tripcount_median,tripcount_sum
137,02170,63,5.279605280800943,11.777777777777779,8.0,18.73015873015873,9.0,1180
138,02180,70,7.1091417154274295,12.32857142857143,6.0,19.757142857142856,10.0,1383
139,02200,139,6.778595594683282,15.510791366906474,8.0,24.402877697841728,11.0,3392
140,02210,223,7.902509473367884,10.174887892376681,4.0,16.09865470852018,6.0,3590
141,02230,378,5.289428239555502,12.076719576719576,7.0,18.80952380952381,9.5,7110
142,02240,20,11.254029581529581,21.3,5.0,36.15,8.0,723
143,02260,30,4.76877329392778,17.4,10.0,31.433333333333334,11.5,943
144,02270,25,7.074133333333334,13.36,5.0,21.16,7.0,529
145,02280,27,10.62196314541142,11.592592592592593,6.0,19.037037037037038,11.0,514
146,02300,19,9.934780132148553,17.42105263157895,9.0,29.42105263157895,15.0,559
147,02320,96,7.710742297697746,15.71875,7.0,26.28125,12.5,2523
148,02330,54,7.479583132916466,15.148148148148149,7.0,26.962962962962962,10.5,1456
149,02340,33,8.908518518518518,15.333333333333334,11.0,25.151515151515152,15.0,830
150,02360,66,5.66654387642866,12.348484848484848,10.0,21.424242424242426,15.5,1414
151,02380,4,6.75,3.5,1.0,6.75,2.0,27
152,02400,52,11.827179487179487,14.711538461538462,6.0,24.596153846153847,10.0,1279
153,02410,3,6.466666666666666,8.0,5.0,10.0,10.0,30
154,02420,12,5.721666666666667,9.333333333333334,4.0,15.666666666666666,7.0,188
155,02430,25,10.250857142857145,10.88,4.0,16.84,8.0,421
156,02440,1,3.0,2.0,2.0,3.0,3.0,3
157,02450,15,13.715555555555557,11.533333333333333,5.0,19.8,10.0,297
158,02460,10,4.143768115942029,18.9,10.0,28.1,20.5,281
159,02470,1,0.061538461538461535,5.0,5.0,15.0,15.0,15
160,02480,21,12.576507936507937,8.952380952380953,4.0,15.571428571428571,9.0,327
161,02490,1,70.0,42.0,42.0,70.0,70.0,70
162,02510,3,5.577777777777778,6.0,5.0,11.0,10.0,33
163,02520,5,9.474887218045112,18.0,9.0,41.6,20.0,208
164,02540,4,10.06,15.75,15.0,21.75,21.0,87
165,02550,3,7.027564102564103,34.333333333333336,19.0,68.0,36.0,204
166,02570,1,24.8,70.0,70.0,126.0,126.0,126
167,02580,8,8.108333333333333,14.375,6.0,21.125,7.5,169
168,02590,2,5.2,10.0,10.0,14.0,14.0,28
169,02600,149,8.820222278738758,15.919463087248323,8.0,26.644295302013422,13.0,3970
170,02610,59,11.218794927239593,17.64406779661017,11.0,30.084745762711865,15.0,1775
171,02620,56,11.448343626924453,12.75,7.5,20.857142857142858,12.5,1168
172,02630,30,8.719032057267352,14.733333333333333,9.0,26.266666666666666,16.0,788
173,02650,130,7.233098015794371,13.176923076923076,7.0,19.73846153846154,11.5,2566
174,02660,39,6.640821027277936,11.820512820512821,7.0,19.384615384615383,10.0,756
175,02680,13,9.128836291913215,14.0,7.0,19.846153846153847,8.0,258
176,02700,93,6.962883109372007,14.956989247311828,8.0,25.21505376344086,12.0,2345
177,02710,34,6.903103439437528,12.882352941176471,5.0,21.647058823529413,9.0,736
178,02720,15,12.92622222222222,15.933333333333334,11.0,26.133333333333333,13.0,392
179,02730,21,8.822486772486773,12.904761904761905,6.0,21.952380952380953,14.0,461
180,02740,11,2.488239538239538,19.90909090909091,10.0,30.363636363636363,21.0,334
181,02750,46,6.590609511261685,13.043478260869565,9.0,19.23913043478261,16.0,885
182,02760,78,8.667755154769122,16.333333333333332,8.0,28.05128205128205,15.0,2188
183,02770,61,5.304386695624135,15.114754098360656,8.0,26.081967213114755,13.0,1591
184,02780,62,10.079764690129716,13.548387096774194,8.0,21.338709677419356,12.5,1323
185,02810,3,17.333333333333332,10.666666666666666,6.0,17.333333333333332,8.0,52
186,02820,6,10.638461538461538,17.166666666666668,9.0,27.333333333333332,15.5,164
187,02860,8,6.301388888888889,6.875,5.0,12.625,10.5,101
188,02880,33,13.424024662206481,11.636363636363637,6.0,19.575757575757574,8.0,646
189,02920,20,6.026964285714285,14.55,4.0,26.8,11.0,536
190,02940,44,6.120000468000469,12.727272727272727,6.5,20.045454545454547,8.5,882
191,02970,13,6.311400394477318,8.153846153846153,4.0,15.538461538461538,12.0,202
192,02980,1,1.3,8.0,8.0,17.0,17.0,17
193,03100,36,25.85432098765432,19.86111111111111,15.0,33.638888888888886,21.5,1211
194,03150,3,25.040000000000003,19.333333333333332,15.0,37.333333333333336,38.0,112
195,03220,1,18.0,9.0,9.0,18.0,18.0,18
196,03250,1,4.6,22.0,22.0,25.0,25.0,25
197,03300,13,7.3747431628674684,21.153846153846153,8.0,47.61538461538461,15.0,619
198,03400,12,17.46736111111111,14.333333333333334,5.0,28.083333333333332,8.0,337
199,03430,2,0.9666666666666666,4.0,4.0,5.5,5.5,11
200,03600,10,18.398000000000003,18.2,12.0,34.5,37.0,345
201,03850,2,28.8,35.0,35.0,68.0,68.0,136
202,04130,27,6.3463040316841495,8.592592592592593,6.0,12.62962962962963,7.0,341
203,04150,3,6.211111111111111,30.0,31.0,53.0,50.0,159
204,04170,2,0.5857142857142856,4.5,4.5,11.0,11.0,22
205,04200,51,10.573183792621133,17.529411764705884,7.0,27.568627450980394,11.0,1406
206,04220,15,11.091587301587301,12.8,7.0,22.133333333333333,15.0,332
207,04230,36,18.94640211640212,18.944444444444443,12.5,30.22222222222222,21.0,1088
208,04240,7,9.485714285714286,19.0,16.0,33.57142857142857,20.0,235
209,04250,12,6.626479076479076,9.916666666666666,5.0,15.0,5.5,180
210,04260,18,24.977921533393232,27.38888888888889,13.5,70.94444444444444,17.0,1277
211,04300,25,15.864935574229692,18.16,14.0,29.68,21.0,742
212,04310,9,18.033333333333335,14.11111111111111,2.0,19.77777777777778,12.0,178
213,04320,22,28.47281385281385,19.727272727272727,8.0,35.59090909090909,16.0,783
214,04330,8,3.9157641045548655,34.125,30.0,68.0,46.5,544
215,04340,10,7.018571428571429,16.6,8.0,25.7,13.0,257
216,04350,1,12.0,9.0,9.0,12.0,12.0,12
217,04360,2,21.0,16.5,16.5,21.0,21.0,42
218,04370,1,1.8,12.0,12.0,22.0,22.0,22
219,04380,2,17.4,17.0,17.0,21.5,21.5,43
220,04400,50,34.09109090909091,27.22,23.0,47.12,39.0,2356
221,04410,36,19.723776980437798,33.80555555555556,27.5,61.02777777777778,41.5,2197
222,04420,17,24.7481045751634,28.58823529411765,17.0,48.11764705882353,27.0,818
223,04430,39,33.974783734783735,30.974358974358974,24.0,52.94871794871795,41.0,2065
224,04440,7,57.142857142857146,35.0,22.0,57.142857142857146,36.0,400
225,04460,8,50.35,27.5,9.0,51.75,16.0,414
226,04480,9,18.53885003885004,21.333333333333332,12.0,39.111111111111114,21.0,352
227,04500,12,21.02559523809524,20.916666666666668,20.5,34.583333333333336,28.0,415
228,04530,3,2.88695652173913,12.0,1.0,23.0,4.0,69
229,04600,9,15.333333333333334,14.88888888888889,4.0,26.444444444444443,6.0,238
230,04620,7,36.84761904761905,24.857142857142858,14.0,40.857142857142854,26.0,286
231,04630,1,1.0285714285714287,19.0,19.0,25.0,25.0,25
232,04660,2,38.0,25.5,25.5,38.0,38.0,76
233,04740,1,2.0,1.0,1.0,2.0,2.0,2
234,05100,6,6.923391812865497,19.833333333333332,10.5,40.5,18.0,243
